account_id	platform	account_name	platform_account_id	username_or_channel	primary_language	fallback_language	timezone	enabled	allowed_formats	caption_style	hashtag_set	cta_rule	posting_window	min_gap_minutes	product_tagging	catalog_or_store_id	credential_property_key	approval_required	notes
FB-ISR	Facebook	Colour Diam Israel	1303392619516403	colourdiamisrael	he-IL	en-GB	Asia/Jerusalem	Yes	Image Post, Carousel, Facebook Reel	Hebrew-first; refined luxury; natural translation	Israel luxury + Hebrew diamond tags	Link/DM based on campaign	10:00-20:00 local	180	Yes		META_TOKEN_FB_ISR	Yes	Confirm catalogue ID before enabling product tags
FB-JPN	Facebook	Color diam japan	1276335835559372	colourdiamjapan	ja-JP	en-GB	Asia/Tokyo	Yes	Image Post, Carousel, Facebook Reel	Natural Japanese; elegant; concise	Japan jewellery + product-specific tags	Website link; polite CTA	10:00-21:00 local	180	Yes		META_TOKEN_FB_JPN	Yes	
FB-KOR	Facebook	colour diam korea	1251196928076029	colourdiamkorea	ko-KR	en-GB	Asia/Seoul	Yes	Image Post, Carousel, Facebook Reel	Natural Korean; premium; concise	Korea jewellery + product-specific tags	Website/DM CTA	10:00-21:00 local	180	Yes		META_TOKEN_FB_KOR	Yes	
FB-RUS	Facebook	colour diam russia	1146787061862512	colourdiamrussia	ru-RU	en-GB	Europe/Moscow	Yes	Image Post, Carousel, Facebook Reel	Natural Russian; collector-focused	Russia luxury + diamond tags	Website/DM CTA	10:00-20:00 local	180	Yes		META_TOKEN_FB_RUS	Yes	
FB-PH	Facebook	Colour Diam Ph	1284846958038803	colourdiamph	fil-PH	en-GB	Asia/Manila	Yes	Image Post, Carousel, Facebook Reel	Filipino/English; warm sales tone	Philippines jewellery + luxury tags	DM or shop link	10:00-21:00 local	150	Yes		META_TOKEN_FB_PH	Yes	
FB-JIYA	Facebook	jiya dhruval shah	1144855365381431		en-GB	en-GB	Asia/Kolkata	Yes	Image Post, Carousel, Facebook Reel	Personal-brand; expert voice	Personal brand + diamond education	DM for consultation	10:00-20:00 local	240	Yes		META_TOKEN_FB_JIYA	Yes	Personal page tagging/catalog eligibility must be verified
FB-MMR	Facebook	Colour Diam Myanmar	1145335788665644	colourdiamburma	my-MM	en-GB	Asia/Yangon	Yes	Image Post, Carousel, Facebook Reel	Burmese-first; accessible luxury	Myanmar jewellery + Burmese tags	DM for details	10:00-20:00 local	180	Yes		META_TOKEN_FB_MMR	Yes	
FB-GLOBAL	Facebook	Colordiamonds	116974773944744		en-GB	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Facebook Reel	International luxury; collector-focused	Global luxury diamond tags	Shop link/DM	10:00-21:00 local	180	Yes		META_TOKEN_FB_GLOBAL	Yes	
FB-BKK	Facebook	Colour diam bangkok	106169348108583	colourdiambangkok	th-TH	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Facebook Reel	Thai-first; premium sales tone	Thailand jewellery + Thai tags	DM/shop CTA	10:00-21:00 local	150	No		META_TOKEN_FB_BKK	Yes	Connected Instagram below
FB-TREND	Facebook	Trending jewel	126477972316578	trendingjewel	en-GB	en-GB	Asia/Bangkok	Yes	Image Post, Carousel, Facebook Reel	Trend-led; energetic; short	Trending jewellery + discovery tags	Follow/DM CTA	11:00-22:00 local	120	Yes		META_TOKEN_FB_TREND	Yes	Connected Instagram below
